Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/BestWeight136/2_c15.ecore;48;0;33;48;40;3;4;25.6;44.0;52.0;0.6868327;123.0;2041;
./model/BestWeight136/30_c14.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;8222;
./model/BestWeight136/31_b4.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;4471;
./model/BestWeight136/32_a9.ecore;11;0;15;11;9;2;3;8.0;10.0;15.0;0.4117647;27.0;6553;
./model/BestWeight136/33_e19.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;2525;
./model/BestWeight136/34_b10.ecore;18;0;10;18;14;1;2;9.0;4.0;13.0;0.33333334;49.0;6348;
./model/BestWeight136/35_a11.ecore;15;0;18;15;9;3;3;9.6;23.0;28.0;0.42857143;39.0;30284;
./model/BestWeight136/36_d5.ecore;17;2;11;19;12;1;2;9.0;5.0;20.0;0.36734694;47.0;3314;
./model/BestWeight136/37_a15.ecore;12;0;14;12;7;2;3;7.6;9.0;12.0;0.2962963;33.0;17058;
./model/BestWeight136/38_b14.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;48.0;3040;
./model/BestWeight136/39_c9.ecore;46;0;31;46;38;1;4;24.0;15.0;22.0;0.51445085;117.0;9258;
./model/BestWeight136/3_b5.ecore;19;0;10;19;14;1;2;9.2;4.0;14.0;0.3265306;52.0;2456;
./model/BestWeight136/40_d19.ecore;17;2;11;19;12;1;2;9.0;5.0;20.0;0.36734694;47.0;5094;
./model/BestWeight136/41_d1.ecore;3;0;2;3;2;1;1;1.8;1.0;2.0;0.375;1.5;5194;
./model/BestWeight136/42_c10.ecore;47;0;32;47;41;3;4;25.4;44.0;51.0;0.7016949;121.0;12277;
./model/BestWeight136/43_b0.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;366;
./model/BestWeight136/44_e8.ecore;40;37;78;77;40;13;4;42.4;625.0;753.0;0.9371873;180.0;17973;
./model/BestWeight136/45_b2.ecore;18;2;11;20;14;1;2;9.6;5.0;22.0;0.37037036;50.0;1444;
./model/BestWeight136/46_c12.ecore;46;0;32;46;42;3;4;25.4;41.0;48.0;0.6575875;117.0;16523;
./model/BestWeight136/47_d3.ecore;5;0;3;5;1;1;1;2.2;2.0;4.0;0.4;2.5;1540;
./model/BestWeight136/48_b16.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;18821;
./model/BestWeight136/49_a17.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;21011;
./model/BestWeight136/4_d4.ecore;4;0;3;4;1;1;1;2.0;2.0;3.0;0.44444445;10.0;1553;
./model/BestWeight136/50_c7.ecore;47;0;33;47;42;3;4;25.8;44.0;51.0;0.6993243;120.0;8134;
./model/BestWeight136/51_d17.ecore;2;0;3;2;1;1;1;1.6;2.0;3.0;0.4;1.0;7798;
./model/BestWeight136/52_e13.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;18315;
./model/BestWeight136/53_e6.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.9368932;188.0;12496;
./model/BestWeight136/54_a3.ecore;21;0;19;21;9;3;4;11.2;23.0;30.0;0.4;54.0;17193;
./model/BestWeight136/55_e11.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;5221;
./model/BestWeight136/56_e4.ecore;39;41;78;80;42;13;4;43.4;617.0;756.0;0.9352715;188.0;13951;
./model/BestWeight136/57_a1.ecore;14;0;17;14;8;3;2;8.8;16.0;22.0;0.26666668;35.0;12063;
./model/BestWeight136/58_d15.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.4;2.0;10333;
./model/BestWeight136/59_a19.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;11504;
./model/BestWeight136/5_b11.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;1760;
./model/BestWeight136/60_b18.ecore;16;2;10;18;13;1;2;8.8;5.0;19.0;0.39215687;45.0;19534;
./model/BestWeight136/61_c5.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;21225;
./model/BestWeight136/65_e0.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;17483;
./model/BestWeight136/66_a5.ecore;19;0;19;19;10;3;3;10.8;24.0;31.0;0.40816328;47.0;13702;
./model/BestWeight136/67_e15.ecore;39;37;78;76;40;13;4;42.2;625.0;752.0;0.93770856;177.0;37630;
./model/BestWeight136/68_b8.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;15300;
./model/BestWeight136/69_c18.ecore;39;0;32;39;41;3;4;23.8;36.0;41.0;0.67611337;98.0;25108;
./model/BestWeight136/6_a10.ecore;19;0;19;19;8;3;3;10.4;22.0;27.0;0.38636363;49.0;2427;
./model/BestWeight136/70_e2.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;23576;
./model/BestWeight136/71_a7.ecore;13;0;17;13;9;3;2;8.8;20.0;26.0;0.37142858;32.0;10443;
./model/BestWeight136/72_e17.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;5445;
./model/BestWeight136/73_c3.ecore;17;2;10;19;8;1;1;7.8;2.0;18.0;0.18181819;48.0;25408;
./model/BestWeight136/74_d13.ecore;3;0;4;3;1;1;1;2.0;3.0;4.0;0.42857143;1.5;21128;
./model/BestWeight136/75_a0.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;898;
./model/BestWeight136/76_e5.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;4267;
./model/BestWeight136/77_e10.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.93675673;188.0;5208;
./model/BestWeight136/78_c4.ecore;17;0;10;17;12;1;2;8.4;4.0;12.0;0.30952382;-38.0;17181;
./model/BestWeight136/79_a18.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;14823;
./model/BestWeight136/7_a12.ecore;20;0;18;20;8;2;4;10.4;14.0;20.0;0.2631579;52.0;5226;
./model/BestWeight136/80_b19.ecore;17;2;11;19;14;1;2;9.4;5.0;20.0;0.3773585;50.0;33859;
./model/BestWeight136/81_d14.ecore;4;0;4;4;0;1;1;2.0;3.0;6.0;0.33333334;2.0;5113;
./model/BestWeight136/82_d16.ecore;5;0;4;5;1;1;1;2.4;3.0;5.0;0.4;13.0;12656;
./model/BestWeight136/83_c6.ecore;48;0;33;48;42;3;4;26.0;44.0;51.0;0.6969697;123.0;16456;
./model/BestWeight136/84_a2.ecore;15;0;20;15;9;3;3;10.0;25.0;30.0;0.44186047;40.0;18498;
./model/BestWeight136/85_e7.ecore;39;40;79;79;42;13;4;43.4;629.0;766.0;0.93638813;185.0;7266;
./model/BestWeight136/86_e12.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.9368932;186.0;24649;
./model/BestWeight136/87_e16.ecore;39;41;79;80;41;13;4;43.4;629.0;768.0;0.9368932;188.0;50476;
./model/BestWeight136/88_a6.ecore;11;0;14;11;1;3;3;6.4;17.0;20.0;0.4;27.0;16432;
./model/BestWeight136/89_e3.ecore;38;41;79;79;42;13;4;43.4;629.0;767.0;0.93532336;185.0;27492;
./model/BestWeight136/8_b13.ecore;18;2;11;20;14;1;2;9.6;5.0;20.0;0.37037036;51.0;2464;
./model/BestWeight136/90_d12.ecore;5;0;2;5;2;1;1;2.2;1.0;3.0;0.41666666;2.5;22170;
./model/BestWeight136/91_c2.ecore;46;0;32;46;41;3;4;25.2;42.0;49.0;0.693662;117.0;18351;
./model/BestWeight136/92_c0.ecore;48;0;33;48;41;3;4;25.8;44.0;52.0;0.6993243;123.0;16307;
./model/BestWeight136/94_d10.ecore;17;2;11;19;14;1;2;9.4;5.0;19.0;0.3529412;48.0;35507;
./model/BestWeight136/95_b9.ecore;19;0;9;19;8;1;1;7.6;4.0;16.0;0.37209302;49.0;49378;
./model/BestWeight136/96_c19.ecore;46;0;32;46;42;3;4;25.4;42.0;49.0;0.6912281;30.150944;1903;
./model/BestWeight136/97_e14.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;5631;
./model/BestWeight136/98_a4.ecore;12;0;15;12;7;2;1;7.4;7.0;11.0;0.17391305;30.0;70729;
./model/BestWeight136/99_e1.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;24473;
