Filename;Unidirectional refs;Opposite refs;Number of metaclasses;Number of references;Number of attributes;DIT;HAgg;Maintainability;Understantability;Complexity;Reuse of the metamodel;Relaxation index of the metamodel;Time (ms);
./model/BestWeight4/0_e18.ecore;39;41;79;80;42;13;4;43.6;629.0;768.0;0.93638813;188.0;1622;
./model/BestWeight4/10_b7.ecore;15;2;10;17;14;1;2;8.8;4.0;18.0;0.34042552;44.0;860;
./model/BestWeight4/11_c17.ecore;48;0;32;48;41;3;4;25.6;43.0;50.0;0.69310343;123.0;377;
./model/BestWeight4/12_b3.ecore;12;2;10;14;13;1;2;8.0;4.0;18.0;0.34146342;33.0;320;
./model/BestWeight4/13_c13.ecore;48;0;33;48;41;3;4;25.8;44.0;51.0;0.6993243;123.0;413;
./model/BestWeight4/14_b17.ecore;16;2;10;18;14;1;2;9.0;5.0;19.0;0.3846154;45.0;381;
./model/BestWeight4/15_a16.ecore;8;0;15;8;8;3;2;7.2;16.0;19.0;0.3043478;21.0;686;
./model/BestWeight4/16_d2.ecore;3;0;3;3;2;1;1;2.0;2.0;4.0;0.44444445;1.5;157;
./model/BestWeight4/17_d0.ecore;4;0;3;4;2;1;1;2.2;2.0;4.0;0.45454547;5.2783504;367;
./model/BestWeight4/18_d18.ecore;4;0;4;4;2;1;1;2.4;3.0;5.0;0.4;2.0;762;
./model/BestWeight4/19_c8.ecore;48;0;32;48;41;3;4;25.6;41.0;48.0;0.6866197;123.0;365;
./model/BestWeight4/1_a8.ecore;23;0;20;23;10;3;4;12.0;25.0;33.0;0.3888889;59.0;404;
./model/BestWeight4/20_a14.ecore;22;0;17;22;4;3;3;9.8;17.0;25.0;0.33333334;56.0;1834;
./model/BestWeight4/21_b15.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;347;
./model/BestWeight4/22_e9.ecore;38;41;78;79;42;13;4;43.2;598.0;736.0;0.9353948;186.0;1986;
./model/BestWeight4/24_b1.ecore;19;2;11;21;14;1;2;9.8;5.0;21.0;0.36363637;54.0;623;
./model/BestWeight4/25_d7.ecore;5;0;4;5;2;1;1;2.6;3.0;6.0;0.41666666;8.104167;1997;
./model/BestWeight4/26_a13.ecore;19;0;17;19;9;3;3;10.2;13.0;21.0;0.2;48.0;6091;
./model/BestWeight4/27_b12.ecore;18;0;10;18;13;1;2;8.8;4.0;14.0;0.34042552;49.0;621;
./model/BestWeight4/28_b6.ecore;18;2;11;20;13;1;2;9.4;5.0;21.0;0.3773585;51.0;1900;
./model/BestWeight4/29_c16.ecore;48;0;33;48;40;3;4;25.6;44.0;52.0;0.6868327;123.0;1160;
